ABZ1 AŠ 485/1120
ABZ5 BA 96/219
ABZ6 ZU 12/32
ABZ7 SU 122/259
ABZ9 BAL 3/14
ABZ12 TAR 38/61
ABZ13 AN 1278/3113
ABZ15 KA 214/506
ABZ38 URU 34/44
ABZ52 UDxU.U.U 156/193
ABZ55 LA 273/543
ABZ58 TU 89/163
ABZ59 LI 71/134
ABZ60 PAP 32/57
ABZ61 MU 447/1021
ABZ62 SILA₃ 13/14 
ABZ68 RU 288/450
ABZ69 BAD 389/641
ABZ70 NA 631/1299
ABZ72 MU 15/25
ABZ73 TI 269/433
ABZ74 BAR 28/60
ABZ75 NU 377/930
ABZ78 HU 56/81
ABZ79 NAM 22/31
ABZ80 IG 111/166
ABZ84 ZI 90/132
ABZ85 GI 54/73
ABZ86 RI 312/644
ABZ94 DIM 0/2
ABZ97 AK 98/114
ABZ98 EN 157/215
ABZ101 SUR 28/42
ABZ104 SA 18/40
ABZ111 GUR 13/19
ABZ112 SI 77/147
ABZ115 SAG 47/82 
ABZ128 AB 47/82
ABZ134 UM 1/2
ABZ139 TA 244/480 
ABZ142 I 332/757 
ABZ143 GAN 11/13
ABZ144 TUR 50/71 
ABZ145 AD 108/156
ABZ147 ZE₂ 26/32
ABZ151 LUGAL 182/234
ABZ167 GAB 37/63
ABZ170 |GUD×KUR| 2/11
ABZ172 NE 102/120
ABZ191 GUM 33/39
ABZ206 DU 405/723 
ABZ207 TUM 132/196
ABZ211 UŠ 49/76
ABZ212 IŠ 14/23
ABZ214 BI 575/746
ABZ230 KAK 48/70
ABZ231 NI 374/831
ABZ232 IR 10/16
ABZ279 HI×BAD 147/205
ABZ295 PA 191/275 
ABZ296 GIŠ 210/333
ABZ306 UB 37/53
ABZ308 E 315/549
ABZ312 KALAM 57/74
ABZ313 KID 29/61
ABZ314 MES 43/71 
ABZ318 U₂ 787/1143
ABZ319 GA 100/127
ABZ322 GURUŠ 71/105
ABZ324 E₂ 151/272
ABZ328 RA 200/377
ABZ330 LU₂ 136/231
ABZ331 ŠEŠ 50/63
ABZ331e+152i SAR 22/29
ABZ334 A₂ 91/137 
ABZ335 DA 103/146
ABZ339 AŠ₂ 1/11
ABZ342 MA 1242/1966 
ABZ343 GAL 97/118
ABZ353 ŠA 25/33
ABZ354 ŠU 369/624 
ABZ366 KUR 357/590 
ABZ367 ŠE 12/48 
ABZ371 BU 320/482 
ABZ376 TE 90/128 
ABZ381 UD 779/1229
ABZ383 PI 47/58 
ABZ384 ŠA₃ 131/166
ABZ396 HI 173/279
ABZ397 ALEPH 13/18
ABZ399 IM 74/87 
ABZ401 |HI×AŠ₂| 63/88
ABZ411 U 262/354
ABZ427 MI 190/255
ABZ437 AMAR 5/10
ABZ440 DIM₂ 8/9 
ABZ449 IGI 546/880
ABZ457 DI 177/278
ABZ461 KI 699/1114
ABZ465 DIN 19/22
ABZ468 KU₃ 8/24
ABZ470 |U.5(DIŠ)| 59/102 
ABZ480 DIŠ 960/1912
ABZ532 ME 133/187
ABZ533 MEŠ 683/1112
ABZ535 IB 54/93
ABZ536 KU 138/209
ABZ537 DIB 116/230 
ABZ545 ŠU₂ 629/836
ABZ554 SAL 36/57
ABZ570 MIN 80/154
ABZ575 UR 56/96
ABZ579 A 1335/2599
ABZ586 ZA 59/71
ABZ589 HA 110/123
ABZ595 DUN₃ 25/38 
ABZ597 GAR 1115/2167
ABZ598a IA₂ 0/1 
